B1	60.96	68.58	90.00	B10S	MBS
C1	91.44	42.16	0.00	100u 50V	153CLV-1010
C2	75.69	42.16	0.00	100u 50V	153CLV-1010
C3	87.63	34.04	90.00	0.1u	C0603
C4	87.63	29.97	90.00	0.1u	C0603
C5	71.63	33.78	90.00	0.1u	C0603
C6	71.63	29.72	90.00	0.1u	C0603
D1	91.44	60.96	0.00	MBRS140	DIO_MBRS140
D2	75.69	60.96	0.00	MBRS140	DIO_MBRS140
D3	75.69	53.09	0.00	MBRS140	DIO_MBRS140
D4	91.44	53.09	0.00	MBRS140	DIO_MBRS140
LED1	90.93	26.42	0.00	GREEN	CHIP-LED0603
LED2	77.47	26.16	0.00	GREEN	CHIP-LED0603
OP1	120.65	71.02	0.00	AS358AMTR-E1	SOIC-8
OP2	120.65	63.40	0.00	AS358AMTR-E1	SOIC-8
OP3	120.65	55.78	0.00	AS358AMTR-E1	SOIC-8
OP4	120.65	48.16	0.00	AS358AMTR-E1	SOIC-8
OP5	120.65	40.54	0.00	AS358AMTR-E1	SOIC-8
Q1	101.35	75.69	0.00	DMP4065S	SOT23
Q10	101.35	29.97	0.00	DMP4065S	SOT23
Q11	106.43	75.69	0.00	DMP4065S	SOT23
Q12	106.43	70.61	0.00	DMP4065S	SOT23
Q13	106.43	65.53	0.00	DMP4065S	SOT23
Q14	106.43	60.45	0.00	DMP4065S	SOT23
Q15	106.43	55.37	0.00	DMP4065S	SOT23
Q16	106.43	50.29	0.00	DMP4065S	SOT23
Q17	106.43	45.21	0.00	DMP4065S	SOT23
Q18	106.43	40.13	0.00	DMP4065S	SOT23
Q19	106.43	35.05	0.00	DMP4065S	SOT23
Q2	101.35	70.61	0.00	DMP4065S	SOT23
Q20	106.43	29.97	0.00	DMP4065S	SOT23
Q21	133.35	75.18	0.00	DMP4065S	SOT23
Q22	133.35	70.10	0.00	DMP4065S	SOT23
Q23	133.35	65.02	0.00	DMP4065S	SOT23
Q24	133.35	59.94	0.00	DMP4065S	SOT23
Q25	133.35	54.86	0.00	DMP4065S	SOT23
Q26	133.35	49.78	0.00	DMP4065S	SOT23
Q27	133.35	44.70	0.00	DMP4065S	SOT23
Q28	133.35	39.62	0.00	DMP4065S	SOT23
Q29	133.35	34.54	0.00	DMP4065S	SOT23
Q3	101.35	65.53	0.00	DMP4065S	SOT23
Q30	133.35	29.46	0.00	DMP4065S	SOT23
Q31	138.43	75.18	0.00	DMP4065S	SOT23
Q32	138.43	70.10	0.00	DMP4065S	SOT23
Q33	138.43	65.02	0.00	DMP4065S	SOT23
Q34	138.43	59.94	0.00	DMP4065S	SOT23
Q35	138.43	54.86	0.00	DMP4065S	SOT23
Q36	138.43	49.78	0.00	DMP4065S	SOT23
Q37	138.43	44.70	0.00	DMP4065S	SOT23
Q38	138.43	39.62	0.00	DMP4065S	SOT23
Q39	138.43	34.54	0.00	DMP4065S	SOT23
Q4	101.35	60.45	0.00	DMP4065S	SOT23
Q40	138.43	29.46	0.00	DMP4065S	SOT23
Q5	101.35	55.37	0.00	DMP4065S	SOT23
Q6	101.35	50.29	0.00	DMP4065S	SOT23
Q7	101.35	45.21	0.00	DMP4065S	SOT23
Q8	101.35	40.13	0.00	DMP4065S	SOT23
Q9	101.35	35.05	0.00	DMP4065S	SOT23
R1	113.03	71.12	90.00	1K	R1206
R10	128.27	40.64	90.00	1K	R1206
R11	120.65	33.02	180.00	1K	R1206
R12	90.93	33.02	270.00	750 1/2W	R1206
R13	74.93	32.77	270.00	750 1/2W	R1206
R14	78.74	33.02	270.00	750 1/2W	R1206
R15	94.74	33.02	270.00	750 1/2W	R1206
R2	128.27	71.12	90.00	1K	R1206
R3	113.03	63.50	90.00	1K	R1206
R4	128.27	63.50	90.00	1K	R1206
R5	113.03	55.88	90.00	1K	R1206
R6	128.27	55.88	90.00	1K	R1206
R7	113.03	48.26	90.00	1K	R1206
R8	128.27	48.26	90.00	1K	R1206
R9	113.03	40.64	90.00	1K	R1206
U1	91.44	70.45	0.00	MC78M12CDTRKG	DPAK-3
VREG1	75.69	70.45	0.00	MC79M12CDTRKG	DPAK-3
